Serial No.,IELTS Score,PTE Score,TOEFEL Score,Backlogs,CGPA,Work Experience,Paper Level,Score
1,9,0,0,0,9.65,0,2,0.99
2,8.5,0,0,0,8.87,1,1,0.99
3,8,0,0,2,8,2,0,0.92
4,7.5,0,0,1,8.67,3,0,0.96
5,7,0,0,1,8.21,4,0,0.87
6,6.5,0,0,0,9.34,5,1,0.94
7,6,0,0,3,8.2,7,2,0.76
8,5.5,0,0,2,7.9,9,3,0.73
9,5,0,0,0,8,10,1,0.68
10,6.5,0,0,1,8.6,12,2,0.91
11,5.5,0,0,2,8.4,5,3,0.77
12,8,0,0,0,9,0,0,0.99
13,6,0,0,0,9.1,0,0,0.81
14,7,0,0,3,8,0,1,0.82
15,6.5,0,0,0,8.2,4,2,0.85
16,6,0,0,3,8.3,9,3,0.81
17,5.5,0,0,1,8.7,8,0,0.74
18,5,0,0,0,8,6,0,0.63
19,5.5,0,0,2,8.8,7,1,0.76
20,5,0,0,1,8.5,15,2,0.77
21,6.5,0,0,3,7.9,17,3,0.85
22,7,0,0,2,8.4,12,3,0.99
23,7,0,0,7,5.5,15,3,0.63
24,6.5,0,0,6,6.5,10,2,0.59
25,6,0,0,5,7.5,18,1,0.67
26,5.5,0,0,4,7.3,13,1,0.6
27,5,0,0,5,7.2,1,0,0.43
28,6.5,0,0,0,8,1,2,0.81
29,7.5,0,0,0,8.6,1,3,0.99
30,6.5,0,0,0,8.7,0,3,0.91
31,5.5,0,0,2,7.5,0,1,0.59
32,5,0,0,1,8.4,0,0,0.62
33,6,0,0,0,9,0,2,0.86
34,6.5,0,0,3,7.6,0,2,0.71
35,7.5,0,0,9,5.4,0,0,0.46
36,7,0,0,12,4.3,5,0,0.27
37,7,0,0,7,6.5,5,2,0.65
38,8,0,0,10,5.5,6,2,0.59
39,7.5,0,0,8,5.6,3,0,0.51
40,6.5,0,0,7,6,1,0,0.42
41,6,0,0,5,6,5,1,0.46
42,5.5,0,0,2,7.5,5,1,0.61
43,5,0,0,1,7.3,9,1,0.58
44,5,0,0,3,7.5,8,1,0.56
45,5.5,0,0,2,7.2,1,0,0.54
46,5,0,0,2,7.8,4,2,0.62
47,6,0,0,0,9.3,2,3,0.93
48,5,0,0,0,9.7,7,3,0.9
49,6,0,0,0,8.85,8,2,0.89
50,6,0,0,0,8.4,4,1,0.79
51,6.5,0,0,1,8.3,0,0,0.76
52,6,0,0,1,7.9,0,2,0.73
53,7,0,0,2,8,1,1,0.85
54,8.5,0,0,1,8.1,2,3,0.99
55,8,0,0,1,8,3,0,0.95
56,7.5,0,0,3,7.7,5,0,0.83
57,7,0,0,2,7.4,6,0,0.78
58,6.5,0,0,0,7.6,5,1,0.77
59,6,0,0,3,6.8,8,2,0.62
60,5.5,0,0,0,8.3,8,1,0.75
61,5,0,0,1,8.1,9,2,0.7
62,6.5,0,0,2,8.2,9,2,0.83
63,5.5,0,0,1,8.2,7,2,0.74
64,8,0,0,0,8.5,4,2,0.99
65,6,0,0,0,8.7,2,2,0.84
66,7,0,0,0,8.92,6,3,0.99
67,6.5,0,0,0,9.02,2,3,0.95
68,6,0,0,1,8.64,1,1,0.78
69,5.5,0,0,0,9.22,3,0,0.79
70,5,0,0,0,9.16,0,1,0.75
71,5.5,0,0,1,9.64,2,1,0.83
72,5,0,0,0,9.76,1,0,0.78
73,6.5,0,0,0,9.45,5,3,0.99
74,7,0,0,0,9.04,8,2,0.99
75,7,0,0,0,8.9,9,2,0.99
76,6.5,0,0,1,8.56,7,2,0.88
77,6,0,0,0,8.72,5,1,0.83
78,5.5,0,0,2,8.22,6,1,0.69
79,5,0,0,3,7.54,1,1,0.53
80,6.5,0,0,1,7.9,2,1,0.76
81,7.5,0,0,0,8,0,0,0.9
82,6.5,0,0,0,8.6,3,0,0.82
83,5.5,0,0,0,8.7,1,0,0.72
84,5,0,0,2,7.4,15,0,0.57
85,6,0,0,1,9,11,3,0.93
86,6.5,0,0,0,7.5,12,0,0.76
87,7.5,0,0,0,9.6,11,3,0.99
88,7,0,0,0,9.5,14,3,0.99
89,7,0,0,0,9.44,13,2,0.99
90,8,0,0,3,7.66,15,2,0.99
91,7.5,0,0,1,8.6,14,3,0.99
92,6.5,0,0,0,9.7,17,3,0.99
93,6,0,0,5,6.5,2,3,0.55
94,5.5,0,0,0,9.05,18,1,0.88
95,5,0,0,0,9.6,19,0,0.85
96,5,0,0,0,9.7,20,0,0.87
97,5.5,0,0,1,8.4,12,0,0.73
98,5,0,0,12,5.6,2,3,0.22
99,6,0,0,4,7.05,1,2,0.59
100,5,0,0,2,8.3,1,2,0.66
101,6,0,0,0,9.65,25,3,0.99
102,6,0,0,0,8.87,3,3,0.89
103,6.5,0,0,2,8,1,2,0.77
104,6,0,0,1,8.67,4,1,0.8
105,7,0,0,1,8.21,0,2,0.91
106,8.5,0,0,0,9.34,0,3,0.99
107,8,0,0,3,8.2,0,3,0.99
108,7.5,0,0,2,7.9,5,0,0.88
109,7,0,0,0,8,6,0,0.88
110,6.5,0,0,1,8.6,4,0,0.81
111,6,0,0,2,8.4,7,0,0.74
112,5.5,0,0,0,9,8,1,0.82
113,5,0,0,0,9.1,4,1,0.76
114,6.5,0,0,3,8,5,1,0.74
115,5.5,0,0,0,8.2,6,1,0.73
116,8,0,0,3,8.3,0,2,0.98
117,6,0,0,1,8.7,0,2,0.81
118,7,0,0,0,8,11,2,0.97
119,6.5,0,0,2,8.8,15,2,0.93
120,6,0,0,1,8.5,2,2,0.8
121,5.5,0,0,4,7.9,1,1,0.6
122,5,0,0,2,8.4,5,0,0.62
123,5.5,0,0,7,5.5,6,3,0.38
124,5,0,0,6,6.5,8,2,0.43
125,6.5,0,0,5,7.5,7,0,0.64
126,7,0,0,4,7.3,9,1,0.78
127,7,0,0,5,7.2,4,2,0.75
128,6.5,0,0,0,8,6,2,0.84
129,6,0,0,0,8.6,2,1,0.8
130,5.5,0,0,0,8.7,1,1,0.76
131,5,0,0,2,7.5,9,1,0.58
132,6.5,0,0,1,8.4,8,3,0.9
133,7.5,0,0,0,9,6,3,0.99
134,6.5,0,0,3,7.6,4,3,0.76
135,5.5,0,0,9,5.4,2,2,0.28
136,5,0,0,12,4.3,6,2,0.08
137,6,0,0,7,6.5,3,1,0.46
138,6.5,0,0,10,5.5,8,3,0.43
139,7.5,0,0,8,5.6,5,0,0.52
140,7,0,0,7,6,4,0,0.53
141,7,0,0,5,6,8,3,0.68
142,8,0,0,2,7.5,9,0,0.91
143,7.5,0,0,1,7.3,7,0,0.84
144,6.5,0,0,3,7.5,1,0,0.64
145,6,0,0,2,7.2,2,2,0.65
146,5.5,0,0,2,7.8,3,0,0.6
147,5,0,0,0,9.3,5,0,0.76
148,5,0,0,0,9.7,6,3,0.89
149,5.5,0,0,0,8.85,4,0,0.76
150,5,0,0,0,8.4,5,1,0.7
151,6,0,0,1,8.3,8,0,0.75
152,5,0,0,1,7.9,7,1,0.64
153,6,0,0,2,8,9,1,0.74
154,6,0,0,1,8.1,5,1,0.75
155,6.5,0,0,1,8,4,1,0.78
156,6,0,0,3,7.7,11,2,0.72
157,7,0,0,2,7.4,12,0,0.81
158,8.5,0,0,0,7.6,10,3,0.99
159,8,0,0,3,6.8,10,0,0.82
160,7.5,0,0,0,8.3,10,2,0.99
161,7,0,0,1,8.1,5,2,0.93
162,6.5,0,0,2,8.2,5,3,0.84
163,6,0,0,1,8.2,0,3,0.79
164,5.5,0,0,0,8.5,1,1,0.74
165,5,0,0,0,8.7,5,1,0.73
166,6.5,0,0,0,8.92,3,0,0.86
167,5.5,0,0,0,9.02,3,0,0.77
168,8,0,0,1,8.64,4,2,0.99
169,6,0,0,0,9.22,6,0,0.85
170,7,0,0,0,9.16,2,2,0.99
171,6.5,0,0,1,9.64,2,1,0.93
172,6,0,0,0,9.76,0,1,0.91
173,5.5,0,0,0,9.45,5,1,0.85
174,5,0,0,0,9.04,5,3,0.82
175,5.5,0,0,0,8.9,6,3,0.86
176,5,0,0,1,8.56,9,3,0.77
177,6.5,0,0,0,8.72,8,2,0.92
178,7,0,0,2,8.22,7,2,0.93
179,7,0,0,3,7.54,0,0,0.74
180,6.5,0,0,1,7.9,10,0,0.77
181,6,0,0,0,8,15,0,0.78
182,5.5,0,0,0,8.6,16,2,0.85
183,5,0,0,0,8.7,16,3,0.84
184,6.5,0,0,2,7.4,1,2,0.72
185,7.5,0,0,1,9,2,3,0.99
186,6.5,0,0,0,7.5,4,1,0.75
187,5.5,0,0,0,9.6,5,1,0.86
188,5,0,0,0,9.5,4,1,0.8
189,6,0,0,0,9.44,3,1,0.89
190,6.5,0,0,3,7.66,3,0,0.67
191,7.5,0,0,1,8.6,3,0,0.95
192,7,0,0,0,9.7,5,0,0.99
193,7,0,0,5,6.5,10,0,0.65
194,8,0,0,0,9.05,11,1,0.99
195,7.5,0,0,0,9.6,15,2,0.99
196,6.5,0,0,0,9.7,14,1,0.99
197,6,0,0,1,8.4,13,3,0.88
198,5.5,0,0,12,5.6,14,2,0.3
199,5,0,0,4,7.05,19,3,0.61
200,5,0,0,2,8.3,18,3,0.77
201,0,85,0,0,9.65,5,2,0.99
202,0,80,0,0,8.87,7,1,0.95
203,0,85,0,2,8,9,3,0.9
204,0,75,0,1,8.67,10,2,0.96
205,0,60,0,1,8.21,12,1,0.89
206,0,90,0,0,9.34,5,3,0.99
207,0,60,0,3,8.2,0,2,0.82
208,0,60,0,2,7.9,0,0,0.75
209,0,80,0,0,8,0,2,0.86
210,0,40,0,1,8.6,4,0,0.86
211,0,30,0,2,8.4,9,1,0.88
212,0,80,0,0,9,8,2,0.99
213,0,80,0,0,9.1,6,3,0.99
214,0,70,0,3,8,7,2,0.83
215,0,55,0,0,8.2,15,0,0.89
216,0,45,0,3,8.3,17,1,0.89
217,0,70,0,1,8.7,12,0,0.91
218,0,53,0,0,8,15,0,0.88
219,0,60,0,2,8.8,10,2,0.95
220,0,68,0,1,8.5,18,3,0.99
221,0,68,0,4,7.9,13,1,0.81
222,0,71,0,2,8.4,1,2,0.86
223,0,23,0,7,5.5,1,1,0.45
224,0,32,0,6,6.5,1,2,0.59
225,0,23,0,5,7.5,0,3,0.74
226,0,33,0,4,7.3,0,2,0.71
227,0,56,0,5,7.2,0,0,0.62
228,0,85,0,0,8,0,0,0.8
229,0,65,0,0,8.6,0,0,0.86
230,0,56,0,0,8.7,0,3,0.96
231,0,68,0,2,7.5,5,0,0.73
232,0,88,0,1,8.4,5,3,0.94
233,0,89,0,0,9,6,3,0.99
234,0,68,0,3,7.6,3,3,0.8
235,0,75,0,9,5.4,1,1,0.4
236,0,25,0,12,4.3,5,1,0.24
237,0,65,0,7,6.5,5,2,0.59
238,0,55,0,10,5.5,9,2,0.46
239,0,12,0,8,5.6,8,3,0.53
240,0,26,0,7,6,1,3,0.56
241,0,28,0,5,6,4,1,0.55
242,0,39,0,2,7.5,2,2,0.78
243,0,38,0,1,7.3,7,3,0.83
244,0,49,0,3,7.5,8,3,0.82
245,0,42,0,2,7.2,4,2,0.76
246,0,48,0,2,7.8,0,3,0.83
247,0,87,0,0,9.3,0,2,0.99
248,0,82,0,0,9.7,1,2,0.99
249,0,81,0,0,8.85,2,3,0.98
250,0,86,0,0,8.4,3,3,0.95
251,0,75,0,1,8.3,5,3,0.93
252,0,79,0,1,7.9,6,0,0.8
253,0,73,0,2,8,5,0,0.79
254,0,75,0,1,8.1,8,0,0.83
255,0,84,0,1,8,8,1,0.85
256,0,84,0,3,7.7,9,1,0.79
257,0,75,0,2,7.4,9,2,0.81
258,0,90,0,0,7.6,7,2,0.85
259,0,54,0,3,6.8,4,0,0.64
260,0,80,0,0,8.3,2,1,0.87
261,0,72,0,1,8.1,6,0,0.82
262,0,79,0,2,8.2,2,2,0.85
263,0,78,0,1,8.2,1,2,0.86
264,0,75,0,0,8.5,3,2,0.93
265,0,74,0,0,8.7,0,1,0.9
266,0,65,0,0,8.92,2,1,0.93
267,0,90,0,0,9.02,1,1,0.94
268,0,87,0,1,8.64,5,3,0.96
269,0,83,0,0,9.22,8,0,0.96
270,0,81,0,0,9.16,9,0,0.96
271,0,79,0,1,9.64,7,2,0.99
272,0,89,0,0,9.76,5,2,0.99
273,0,89,0,0,9.45,6,3,0.99
274,0,90,0,0,9.04,1,3,0.99
275,0,85,0,0,8.9,2,1,0.93
276,0,74,0,1,8.56,0,0,0.84
277,0,84,0,0,8.72,3,0,0.89
278,0,56,0,2,8.22,1,2,0.85
279,0,65,0,3,7.54,15,3,0.86
280,0,85,0,1,7.9,11,2,0.89
281,0,78,0,0,8,12,1,0.89
282,0,74,0,0,8.6,11,0,0.92
283,0,86,0,0,8.7,14,3,0.99
284,0,85,0,2,7.4,13,2,0.83
285,0,84,0,1,9,15,2,0.99
286,0,86,0,0,7.5,14,1,0.85
287,0,90,0,0,9.6,17,0,0.99
288,0,87,0,0,9.5,2,2,0.99
289,0,80,0,0,9.44,18,2,0.99
290,0,79,0,3,7.66,19,1,0.83
291,0,75,0,1,8.6,20,0,0.94
292,0,86,0,0,9.7,12,2,0.99
293,0,26,0,5,6.5,2,3,0.65
294,0,78,0,0,9.05,1,3,0.99
295,0,82,0,0,9.6,1,2,0.99
296,0,87,0,0,9.7,25,2,0.99
297,0,87,0,1,8.4,3,0,0.84
298,0,26,0,12,5.6,1,1,0.35
299,0,58,0,4,7.05,4,2,0.71
300,0,79,0,2,8.3,0,3,0.88
301,0,85,0,0,9.65,0,2,0.99
302,0,80,0,0,8.87,0,1,0.92
303,0,85,0,2,8,5,0,0.79
304,0,75,0,1,8.67,6,0,0.88
305,0,60,0,1,8.21,4,0,0.82
306,0,90,0,0,9.34,7,1,0.99
307,0,60,0,3,8.2,8,2,0.86
308,0,60,0,2,7.9,4,3,0.86
309,0,80,0,0,8,5,1,0.86
310,0,40,0,1,8.6,6,2,0.93
311,0,30,0,2,8.4,0,3,0.89
312,0,80,0,0,9,0,0,0.9
313,0,80,0,0,9.1,11,0,0.97
314,0,70,0,3,8,15,1,0.84
315,0,55,0,0,8.2,2,2,0.89
316,0,45,0,3,8.3,1,3,0.86
317,0,70,0,1,8.7,5,0,0.88
318,0,53,0,0,8,6,0,0.83
319,0,60,0,2,8.8,8,1,0.91
320,0,68,0,1,8.5,7,2,0.93
321,0,68,0,4,7.9,9,3,0.85
322,0,71,0,2,8.4,4,3,0.91
323,0,23,0,7,5.5,6,3,0.53
324,0,32,0,6,6.5,2,2,0.6
325,0,23,0,5,7.5,1,1,0.69
326,0,33,0,4,7.3,9,1,0.73
327,0,56,0,5,7.2,8,0,0.66
328,0,85,0,0,8,6,2,0.89
329,0,65,0,0,8.6,4,3,0.97
330,0,56,0,0,8.7,2,3,0.97
331,0,68,0,2,7.5,6,1,0.77
332,0,88,0,1,8.4,3,0,0.84
333,0,89,0,0,9,8,2,0.99
334,0,68,0,3,7.6,5,2,0.78
335,0,75,0,9,5.4,4,0,0.38
336,0,25,0,12,4.3,8,0,0.23
337,0,65,0,7,6.5,9,2,0.61
338,0,55,0,10,5.5,7,2,0.45
339,0,12,0,8,5.6,1,0,0.4
340,0,26,0,7,6,2,0,0.47
341,0,28,0,5,6,3,1,0.55
342,0,39,0,2,7.5,5,1,0.77
343,0,38,0,1,7.3,6,1,0.77
344,0,49,0,3,7.5,4,1,0.74
345,0,42,0,2,7.2,5,0,0.71
346,0,48,0,2,7.8,8,2,0.84
347,0,87,0,0,9.3,7,3,0.99
348,0,82,0,0,9.7,9,3,0.99
349,0,81,0,0,8.85,5,2,0.97
350,0,86,0,0,8.4,4,1,0.89
351,0,75,0,1,8.3,11,0,0.87
352,0,79,0,1,7.9,12,2,0.89
353,0,73,0,2,8,10,1,0.84
354,0,75,0,1,8.1,10,3,0.93
355,0,84,0,1,8,10,0,0.83
356,0,84,0,3,7.7,5,0,0.73
357,0,75,0,2,7.4,5,0,0.73
358,0,90,0,0,7.6,0,1,0.79
359,0,54,0,3,6.8,1,2,0.69
360,0,80,0,0,8.3,5,1,0.89
361,0,72,0,1,8.1,3,2,0.86
362,0,79,0,2,8.2,3,2,0.85
363,0,78,0,1,8.2,4,2,0.88
364,0,75,0,0,8.5,6,2,0.94
365,0,74,0,0,8.7,2,2,0.94
366,0,65,0,0,8.92,2,3,0.99
367,0,90,0,0,9.02,0,3,0.99
368,0,87,0,1,8.64,5,1,0.9
369,0,83,0,0,9.22,5,0,0.95
370,0,81,0,0,9.16,6,1,0.98
371,0,79,0,1,9.64,9,1,0.99
372,0,89,0,0,9.76,8,0,0.99
373,0,89,0,0,9.45,7,3,0.99
374,0,90,0,0,9.04,0,2,0.96
375,0,85,0,0,8.9,10,2,0.99
376,0,74,0,1,8.56,15,2,0.97
377,0,84,0,0,8.72,16,1,0.98
378,0,56,0,2,8.22,16,1,0.89
379,0,65,0,3,7.54,1,1,0.73
380,0,85,0,1,7.9,2,1,0.81
381,0,78,0,0,8,4,0,0.82
382,0,74,0,0,8.6,5,0,0.89
383,0,86,0,0,8.7,4,0,0.89
384,0,85,0,2,7.4,3,0,0.72
385,0,84,0,1,9,3,3,0.98
386,0,86,0,0,7.5,3,0,0.77
387,0,90,0,0,9.6,5,3,0.99
388,0,87,0,0,9.5,10,3,0.99
389,0,80,0,0,9.44,11,2,0.99
390,0,79,0,3,7.66,15,2,0.84
391,0,75,0,1,8.6,14,3,0.84
392,0,86,0,0,9.7,13,3,0.99
393,0,26,0,5,6.5,14,3,0.71
394,0,78,0,0,9.05,19,1,0.99
395,0,82,0,0,9.6,18,0,0.99
396,0,87,0,0,9.7,5,0,0.99
397,0,87,0,1,8.4,7,0,0.86
398,0,26,0,12,5.6,9,3,0.45
399,0,58,0,4,7.05,10,2,0.74
400,0,79,0,2,8.3,12,2,0.91
401,0,0,118,0,9.65,5,3,0.99
402,0,0,119,0,8.87,0,3,0.98
403,0,0,110,2,8,0,2,0.82
404,0,0,113,1,8.67,0,1,0.88
405,0,0,112,1,8.21,4,2,0.88
406,0,0,116,0,9.34,9,3,0.99
407,0,0,120,3,8.2,8,3,0.89
408,0,0,99,2,7.9,6,0,0.78
409,0,0,98,0,8,7,0,0.84
410,0,0,101,1,8.6,15,0,0.91
411,0,0,103,2,8.4,17,0,0.89
412,0,0,98,0,9,12,1,0.99
413,0,0,86,0,9.1,15,1,0.99
414,0,0,99,3,8,10,1,0.82
415,0,0,99,0,8.2,18,1,0.94
416,0,0,102,3,8.3,13,2,0.9
417,0,0,97,1,8.7,1,2,0.92
418,0,0,102,0,8,1,2,0.86
419,0,0,116,2,8.8,1,2,0.91
420,0,0,115,1,8.5,0,2,0.89
421,0,0,100,4,7.9,0,1,0.74
422,0,0,100,2,8.4,0,0,0.8
423,0,0,65,7,5.5,0,3,0.5
424,0,0,78,6,6.5,0,2,0.59
425,0,0,73,5,7.5,0,0,0.65
426,0,0,75,4,7.3,5,1,0.71
427,0,0,70,5,7.2,5,2,0.71
428,0,0,84,0,8,6,2,0.89
429,0,0,86,0,8.6,3,1,0.91
430,0,0,98,0,8.7,1,1,0.91
431,0,0,93,2,7.5,5,1,0.77
432,0,0,97,1,8.4,5,3,0.94
433,0,0,100,0,9,9,3,0.99
434,0,0,85,3,7.6,8,3,0.83
435,0,0,57,9,5.4,1,2,0.43
436,0,0,43,12,4.3,4,2,0.27
437,0,0,59,7,6.5,2,1,0.55
438,0,0,45,10,5.5,7,3,0.47
439,0,0,68,8,5.6,8,0,0.44
440,0,0,52,7,6,4,0,0.48
441,0,0,58,5,6,0,3,0.59
442,0,0,98,2,7.5,0,0,0.71
443,0,0,96,1,7.3,1,0,0.71
444,0,0,89,3,7.5,2,0,0.7
445,0,0,93,2,7.2,3,2,0.76
446,0,0,105,2,7.8,5,0,0.77
447,0,0,116,0,9.3,6,0,0.96
448,0,0,120,0,9.7,5,3,0.99
449,0,0,114,0,8.85,8,0,0.93
450,0,0,120,0,8.4,8,1,0.91
451,0,0,101,1,8.3,9,0,0.86
452,0,0,106,1,7.9,9,1,0.85
453,0,0,108,2,8,7,1,0.83
454,0,0,99,1,8.1,4,1,0.84
455,0,0,97,1,8,2,1,0.82
456,0,0,93,3,7.7,6,2,0.8
457,0,0,95,2,7.4,2,0,0.71
458,0,0,84,0,7.6,1,3,0.85
459,0,0,98,3,6.8,3,0,0.64
460,0,0,115,0,8.3,0,2,0.89
461,0,0,118,1,8.1,2,2,0.86
462,0,0,101,2,8.2,1,3,0.87
463,0,0,96,1,8.2,5,3,0.91
464,0,0,120,0,8.5,8,1,0.92
465,0,0,99,0,8.7,9,1,0.95
466,0,0,109,0,8.92,7,0,0.93
467,0,0,110,0,9.02,5,0,0.93
468,0,0,110,1,8.64,6,2,0.93
469,0,0,119,0,9.22,1,0,0.93
470,0,0,118,0,9.16,2,2,0.99
471,0,0,113,1,9.64,0,1,0.97
472,0,0,116,0,9.76,3,1,0.99
473,0,0,120,0,9.45,1,1,0.98
474,0,0,118,0,9.04,15,3,0.99
475,0,0,117,0,8.9,11,3,0.99
476,0,0,94,1,8.56,12,3,0.99
477,0,0,93,0,8.72,11,2,0.99
478,0,0,92,2,8.22,14,2,0.91
479,0,0,85,3,7.54,13,0,0.76
480,0,0,98,1,7.9,15,0,0.84
481,0,0,103,0,8,14,0,0.87
482,0,0,113,0,8.6,17,2,0.99
483,0,0,120,0,8.7,2,3,0.97
484,0,0,98,2,7.4,18,2,0.85
485,0,0,103,1,9,19,3,0.99
486,0,0,96,0,7.5,20,1,0.88
487,0,0,116,0,9.6,12,1,0.99
488,0,0,111,0,9.5,2,1,0.99
489,0,0,111,0,9.44,1,1,0.98
490,0,0,101,3,7.66,1,0,0.71
491,0,0,111,1,8.6,25,0,0.96
492,0,0,120,0,9.7,3,0,0.98
493,0,0,56,5,6.5,1,0,0.56
494,0,0,84,0,9.05,4,1,0.96
495,0,0,97,0,9.6,0,2,0.99
496,0,0,93,0,9.7,0,1,0.99
497,0,0,95,1,8.4,0,3,0.91
498,0,0,74,12,5.6,5,2,0.4
499,0,0,73,4,7.05,6,3,0.75
500,0,0,89,2,8.3,4,3,0.9
501,0,0,118,0,9.65,7,2,0.99
502,0,0,119,0,8.87,8,1,0.96
503,0,0,110,2,8,4,3,0.87
504,0,0,113,1,8.67,5,2,0.93
505,0,0,112,1,8.21,6,1,0.86
506,0,0,116,0,9.34,0,3,0.99
507,0,0,120,3,8.2,0,2,0.82
508,0,0,99,2,7.9,11,0,0.81
509,0,0,98,0,8,15,2,0.94
510,0,0,101,1,8.6,2,0,0.85
511,0,0,103,2,8.4,1,1,0.84
512,0,0,98,0,9,5,2,0.99
513,0,0,86,0,9.1,6,3,0.99
514,0,0,99,3,8,8,2,0.84
515,0,0,99,0,8.2,7,0,0.85
516,0,0,102,3,8.3,9,1,0.85
517,0,0,97,1,8.7,4,0,0.87
518,0,0,102,0,8,6,0,0.83
519,0,0,116,2,8.8,2,2,0.91
520,0,0,115,1,8.5,1,3,0.93
521,0,0,100,4,7.9,9,1,0.79
522,0,0,100,2,8.4,8,2,0.9
523,0,0,65,7,5.5,6,1,0.47
524,0,0,78,6,6.5,4,2,0.61
525,0,0,73,5,7.5,2,3,0.75
526,0,0,75,4,7.3,6,2,0.74
527,0,0,70,5,7.2,3,0,0.64
528,0,0,84,0,8,8,0,0.84
529,0,0,86,0,8.6,5,0,0.89
530,0,0,98,0,8.7,4,3,0.98
531,0,0,93,2,7.5,8,0,0.75
532,0,0,97,1,8.4,9,3,0.96
533,0,0,100,0,9,7,3,0.99
534,0,0,85,3,7.6,1,3,0.79
535,0,0,57,9,5.4,2,1,0.4
536,0,0,43,12,4.3,3,1,0.24
537,0,0,59,7,6.5,5,2,0.59
538,0,0,45,10,5.5,6,2,0.44
539,0,0,68,8,5.6,4,3,0.51
540,0,0,52,7,6,5,3,0.58
541,0,0,58,5,6,8,1,0.57
542,0,0,98,2,7.5,7,2,0.8
543,0,0,96,1,7.3,9,3,0.84
544,0,0,89,3,7.5,5,3,0.8
545,0,0,93,2,7.2,4,2,0.76
546,0,0,105,2,7.8,11,3,0.89
547,0,0,116,0,9.3,12,2,0.99
548,0,0,120,0,9.7,10,2,0.99
549,0,0,114,0,8.85,10,3,0.99
550,0,0,120,0,8.4,10,3,0.98
551,0,0,101,1,8.3,5,3,0.93
552,0,0,106,1,7.9,5,0,0.8
553,0,0,108,2,8,0,0,0.76
554,0,0,99,1,8.1,1,0,0.8
555,0,0,97,1,8,5,1,0.84
556,0,0,93,3,7.7,3,1,0.76
557,0,0,95,2,7.4,3,2,0.78
558,0,0,84,0,7.6,4,2,0.84
559,0,0,98,3,6.8,6,0,0.65
560,0,0,115,0,8.3,2,1,0.87
561,0,0,118,1,8.1,2,0,0.8
562,0,0,101,2,8.2,0,2,0.84
563,0,0,96,1,8.2,5,2,0.89
564,0,0,120,0,8.5,5,2,0.94
565,0,0,99,0,8.7,6,1,0.93
566,0,0,109,0,8.92,9,1,0.97
567,0,0,110,0,9.02,8,1,0.97
568,0,0,110,1,8.64,7,3,0.97
569,0,0,119,0,9.22,0,0,0.92
570,0,0,118,0,9.16,10,0,0.97
571,0,0,113,1,9.64,15,2,0.99
572,0,0,116,0,9.76,16,2,0.99
573,0,0,120,0,9.45,16,3,0.99
574,0,0,118,0,9.04,1,3,0.99
575,0,0,117,0,8.9,2,1,0.93
576,0,0,94,1,8.56,4,0,0.86
577,0,0,93,0,8.72,5,0,0.9
578,0,0,92,2,8.22,4,2,0.86
579,0,0,85,3,7.54,3,3,0.8
580,0,0,98,1,7.9,3,2,0.84
581,0,0,103,0,8,3,1,0.85
582,0,0,113,0,8.6,5,0,0.89
583,0,0,120,0,8.7,10,3,0.99
584,0,0,98,2,7.4,11,2,0.82
585,0,0,103,1,9,15,2,0.99
586,0,0,96,0,7.5,14,1,0.85
587,0,0,116,0,9.6,13,0,0.99
588,0,0,111,0,9.5,14,2,0.99
589,0,0,111,0,9.44,19,2,0.99
590,0,0,101,3,7.66,18,1,0.83
591,0,0,111,1,8.6,5,0,0.86
592,0,0,120,0,9.7,7,2,0.99
593,0,0,56,5,6.5,9,3,0.69
594,0,0,84,0,9.05,10,3,0.99
595,0,0,97,0,9.6,12,2,0.99
596,0,0,93,0,9.7,5,2,0.99
597,0,0,95,1,8.4,0,0,0.82
598,0,0,74,12,5.6,0,1,0.35
599,0,0,73,4,7.05,0,2,0.69
600,0,0,89,2,8.3,4,3,0.9
